TeamNumber,TeamName,MatchNumber,AllianceColor,AutonomousSkystoneDeliver,AutonomousStoneDeliver,AutonomousFoundationMoved,AutonomousParked,TeleOpGlyphStonePlaced,TeleOpGlyphStoneDelivered,EndGameCapstone,EndGameCapstoneLevels,EndGameFoundationMoved,EndGameParking,ExtrasRobotScoringEffeciencyTransportingStones,ExtrasRobotScoringEffeciencyPlacingStones,ExtrasRobotSpeed,ExtrasRobotProblemsConnections,ExtrasRobotProblemsMechanical,ExtrasComments
34,(34),5143,Red,1,2,Achieved,2,Parked,4,2,1,4,0,1,good,good,medium,,,
1011,(1011),3,Red,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,1,did not attempt,did not attempt,did not move,,,
4150,Dark Matter,3,Red,No Attempt,0,Achieved,0,No Attempt,1,1,0,0,0,1,bad,so-so,slow,,,
4150,Dark Matter,5,Blue,No Attempt,0,No Attempt,0,Parked,0,0,0,0,0,0,did not attempt,did not attempt,did not move,,,died half way through
4150,Dark Matter,8,Blue,No Attempt,0,Achieved,0,Parked,1,2,0,0,0,1,so-so,bad,slow,,,
4150,Dark Matter,9,Blue,No Attempt,0,No Attempt,0,Parked,3,3,0,0,1,1,so-so,did not attempt,medium,,,
4150,Dark Matter,10,Red,No Attempt,0,No Attempt,0,Parked,1,1,0,0,0,0,good,bad,medium,yes,yes,
4150,Dark Matter,15,Blue,No Attempt,0,Achieved,0,Parked,2,3,0,0,1,1,so-so,so-so,slow,,,
4150,Dark Matter,20,Blue,No Attempt,0,Achieved,0,Parked,2,3,0,0,0,0,so-so,so-so,fast,,,
4150,Dark Matter,21,Red,No Attempt,0,No Attempt,0,Parked,5,0,0,0,1,1,so-so,so-so,medium,,,
4150,Dark Matter,30,Blue,No Attempt,0,No Attempt,0,Parked,0,2,0,0,1,1,so-so,did not attempt,fast,,,


4175,MechaMETROzilla,6,Red,No Attempt,0,Achieved,0,Parked,3,2,0,0,1,0,good,good,medium,,,
4175,MechaMETROzilla,13,Blue,No Attempt,1,Achieved,1,Parked,4,4,0,0,1,1,good,good,fast,,,
4175,MechaMETROzilla,20,Red,No Attempt,0,Achieved,0,Parked,5,0,0,0,1,0,good,good,medium,,,
4175,MechaMETROzilla,30,Blue,No Attempt,0,Achieved,0,Attempted,5,2,0,0,0,1,good,good,medium,,,
4324,Lost In Time,3,Red,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,bad,bad,slow,yes,yes,
4324,Lost In Time,10,Red,No Attempt,0,No Attempt,0,Parked,4,3,0,0,0,1,so-so,good,medium,,,
4324,Lost In Time,18,Blue,Attempted,0,Attempted,0,Attempted,3,3,0,0,0,0,so-so,bad,fast,yes,,
4324,Lost In Time,24,Red,Attempted,0,No Attempt,0,No Attempt,3,3,0,0,0,0,good,good,medium,,,
4389,Higgs Bozos,1,Red,No Attempt,0,Achieved,0,Parked,2,3,0,0,1,1,so-so,so-so,medium,,,
4389,Higgs Bozos,2,Red,No Attempt,0,No Attempt,0,Attempted,2,3,1,0,0,0,so-so,so-so,fast,,,competed alone

4389,Higgs Bozos,3,Blue,No Attempt,0,No Attempt,0,Attempted,0,2,0,0,1,1,did not attempt,bad,slow,,,
4389,Higgs Bozos,11,Blue,No Attempt,0,Achieved,0,No Attempt,2,4,0,0,0,0,so-so,so-so,fast,,,
4389,Higgs Bozos,22,Blue,No Attempt,0,No Attempt,0,Parked,3,3,0,0,0,0,so-so,so-so,medium,,,
4389,Higgs Bozos,718,Blue,1,0,Achieved,0,No Attempt,2,2,0,0,1,0,so-so,did not attempt,slow,,,
5143,Xcentrics,4,Red,1,1,No Attempt,1,Parked,3,2,1,3,1,0,good,so-so,fast,,,
5143,Xcentrics,19,Red,Attempted,0,Achieved,0,Parked,3,0,0,1,1,1,good,so-so,medium,,,
5143,Xcentrics,27,Red,1,1,Attempted,1,Parked,4,4,1,4,0,0,good,good,fast,,,
5913,Drop It Like It's Bot,1,Blue,No Attempt,0,Achieved,0,Parked,3,3,0,0,0,1,good,good,medium,yes,,
5913,Drop It Like It's Bot,6,Red,No Attempt,0,No Attempt,0,Parked,4,4,1,5,0,1,good,good,medium,,,
5913,Drop It Like It's Bot,7,Red,No Attempt,0,Achieved,0,Parked,5,3,1,1,1,1,so-so,good,medium,,,
5913,Drop It Like It's Bot,12,Red,No Attempt,0,Attempted,0,No Attempt,2,2,1,4,1,1,good,good,fast,yes,,
5913,Drop It Like It's Bot,18,Red,No Attempt,0,Achieved,0,Parked,2,0,0,0,0,1,good,good,medium,,,
5913,Drop It Like It's Bot,26,Red,No Attempt,0,Achieved,0,Parked,4,0,1,5,1,1,good,good,medium,,,
6113,RoboHawks,1,Blue,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,,yes,did not run. removed from field
6113,RoboHawks,11,Red,No Attempt,0,No Attempt,0,Parked,2,3,0,0,0,1,so-so,bad,medium,,,
6113,RoboHawks,12,Blue,No Attempt,0,Achieved,0,Parked,3,2,0,0,1,1,so-so,so-so,medium,,,
6113,RoboHawks,13,Blue,No Attempt,0,Achieved,0,Parked,1,3,0,0,1,0,good,good,fast,,,
6113,RoboHawks,14,Red,No Attempt,0,Achieved,0,No Attempt,1,3,0,0,0,1,so-so,so-so,medium,,,
6113,RoboHawks,21,Blue,No Attempt,0,No Attempt,0,Parked,3,3,0,0,1,1,so-so,so-so,medium,,,
6113,RoboHawks,27,Blue,No Attempt,3,Achieved,3,Attempted,0,4,0,0,1,1,so-so,so-so,slow,,,
6121,Cougarbots,24,Blue,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,yes,yes,
6121,Cougarbots,30,Red,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,1,did not attempt,did not attempt,did not move,,,
6189,High Voltage,10,Red,No Attempt,0,Unsure,0,Parked,1,1,0,0,0,0,so-so,so-so,slow,,,
6189,High Voltage,16,Blue,1,0,No Attempt,0,Parked,1,1,0,0,0,1,bad,bad,medium,,,
6189,High Voltage,20,Blue,Attempted,0,No Attempt,0,Parked,2,2,0,0,0,1,bad,bad,fast,,,
6189,High Voltage,26,Red,Attempted,0,No Attempt,0,Parked,1,1,0,0,0,1,bad,bad,medium,,,
6499,Warrior Bots,7,Red,2,0,No Attempt,0,Parked,0,5,0,0,0,1,so-so,did not attempt,medium,,,
6499,Warrior Bots,23,Red,No Attempt,1,No Attempt,1,Parked,0,0,0,0,1,1,good,bad,fast,,,
6532,RoboBears,2,Blue,Unsure,0,Unsure,0,No Attempt,0,0,0,0,0,1,did not attempt,bad,medium,,yes,
6532,RoboBears,26,Blue,No Attempt,0,No Attempt,0,Parked,3,3,0,0,0,0,bad,bad,medium,,,
6625,Enginerds,2,Red,No Attempt,0,No Attempt,0,Parked,0,0,0,0,1,0,bad,bad,slow,,,
6625,Enginerds,14,Blue,No Attempt,0,No Attempt,0,Parked,1,2,0,0,0,0,so-so,did not attempt,slow,yes,,
7110,The Element of Surprise,2,Blue,No Attempt,0,No Attempt,0,No Attempt,0,1,0,0,1,1,bad,did not attempt,slow,,,
7110,The Element of Surprise,5,Blue,No Attempt,0,Achieved,0,Parked,0,0,1,0,0,0,did not attempt,did not attempt,fast,,yes,
7110,The Element of Surprise,9,Blue,No Attempt,0,No Attempt,0,No Attempt,1,1,0,0,0,1,so-so,so-so,medium,,,
7110,The Element of Surprise,11,Red,No Attempt,0,No Attempt,0,No Attempt,0,2,0,0,0,1,so-so,did not attempt,medium,,,
7110,The Element of Surprise,12,Blue,No Attempt,0,No Attempt,0,Parked,2,3,1,0,1,1,so-so,so-so,medium,,,
7110,The Element of Surprise,17,Blue,No Attempt,0,Achieved,0,Parked,2,2,0,0,1,1,so-so,so-so,slow,,,
7110,The Element of Surprise,29,Blue,No Attempt,0,Attempted,0,Parked,1,1,0,0,1,1,so-so,so-so,slow,,,
7130,Royal Robots,5,Red,No Attempt,0,No Attempt,0,No Attempt,0,1,0,0,0,1,bad,did not attempt,slow,,,
7130,Royal Robots,6,Blue,No Attempt,0,No Attempt,0,Parked,0,1,0,0,0,0,bad,did not attempt,medium,,yes,wheel broke

7130,Royal Robots,7,Red,No Attempt,0,No Attempt,0,Parked,0,1,0,0,0,1,bad,did not attempt,medium,,,
7130,Royal Robots,9,Red,No Attempt,0,No Attempt,0,Parked,0,2,0,0,0,1,so-so,did not attempt,medium,,,
7130,Royal Robots,10,Red,No Attempt,0,No Attempt,0,Parked,1,2,0,0,0,0,bad,did not attempt,fast,,,
7130,Royal Robots,16,Blue,No Attempt,0,No Attempt,0,No Attempt,0,1,0,0,0,0,bad,did not attempt,fast,,,
7130,Royal Robots,18,Blue,No Attempt,0,No Attempt,0,Parked,0,2,0,0,0,0,so-so,did not attempt,fast,,,
7130,Royal Robots,25,Red,No Attempt,0,Achieved,0,Parked,0,0,0,0,0,0,did not attempt,did not attempt,did not move,,yes,
7130,Royal Robots,32,Red,No Attempt,0,No Attempt,0,Parked,2,2,0,0,0,1,bad,bad,slow,yes,,
7495,Rocketman,5,Red,1,1,No Attempt,1,Parked,2,3,0,0,1,1,did not attempt,did not attempt,did not move,,,
7495,Rocketman,8,Blue,No Attempt,0,No Attempt,0,Parked,2,2,0,0,0,0,good,good,fast,,,
7495,Rocketman,14,Red,1,1,No Attempt,1,Parked,3,0,0,0,1,0,bad,bad,medium,,,
7495,Rocketman,20,Red,1,1,No Attempt,1,Parked,1,3,1,0,0,1,bad,bad,medium,,,
7495,Rocketman,28,Blue,1,0,No Attempt,0,Parked,2,2,0,0,0,0,good,good,fast,,,
8695,Tri Hards,12,Red,No Attempt,0,Achieved,0,No Attempt,2,0,1,0,1,0,so-so,so-so,medium,,,
8695,Tri Hards,17,Blue,No Attempt,0,Achieved,0,Parked,3,3,0,0,1,1,good,good,medium,,,
8695,Tri Hards,19,Blue,No Attempt,0,Achieved,0,Parked,3,3,0,0,1,1,good,good,medium,,,
8695,Tri Hards,34,Blue,1,0,No Attempt,0,No Attempt,1,2,1,0,1,1,so-so,bad,medium,,,
8732,(8732),2,Blue,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,yes,yes,
8732,(8732),7,Red,No Attempt,0,No Attempt,0,No Attempt,0,3,0,0,0,1,bad,did not attempt,slow,,,
8732,(8732),12,Red,No Attempt,0,No Attempt,0,Parked,0,0,0,0,0,1,bad,did not attempt,slow,,,
9215,Team Talos,6,Blue,Attempted,0,No Attempt,0,No Attempt,3,3,0,0,0,1,so-so,so-so,medium,,,
9215,Team Talos,9,Red,Unsure,0,Unsure,0,Parked,1,1,0,0,0,1,did not attempt,did not attempt,did not move,,,
9215,Team Talos,22,Red,No Attempt,0,No Attempt,0,Parked,1,1,0,0,0,1,so-so,so-so,slow,,,
9215,Team Talos,29,Red,Attempted,0,No Attempt,0,Parked,4,4,0,0,0,0,so-so,so-so,medium,,,
9215,Team Talos,34,Blue,Attempted,0,No Attempt,0,No Attempt,3,3,0,0,0,0,so-so,so-so,medium,,,
9925,Delta Robotics,2,Blue,No Attempt,0,No Attempt,0,Parked,1,0,1,0,1,1,bad,bad,medium,,,
9925,Delta Robotics,4,Blue,No Attempt,0,No Attempt,0,Parked,2,2,0,0,1,1,so-so,so-so,slow,,,
9925,Delta Robotics,5,Red,0,4,Achieved,4,Parked,5,2,1,4,1,1,did not attempt,did not attempt,did not move,,,
9925,Delta Robotics,8,Red,No Attempt,0,No Attempt,0,Parked,1,2,0,0,1,1,good,so-so,fast,,,
9925,Delta Robotics,12,Red,No Attempt,0,No Attempt,0,Parked,3,2,0,0,1,1,good,good,fast,,,
9925,Delta Robotics,16,Red,1,1,Achieved,1,Parked,3,3,0,0,1,1,good,good,fast,,,
9925,Delta Robotics,22,Red,Attempted,0,Attempted,0,Attempted,1,1,0,0,0,0,bad,bad,medium,,,
9988,Taft Robotics,3,Red,No Attempt,0,Attempted,0,No Attempt,2,2,0,0,0,1,bad,so-so,medium,,,
9988,Taft Robotics,8,Blue,No Attempt,0,Attempted,0,Parked,0,0,0,0,0,0,did not attempt,did not attempt,slow,,,
9988,Taft Robotics,32,Blue,No Attempt,0,No Attempt,0,Parked,0,0,0,0,0,0,so-so,did not attempt,fast,,,
10107,A League Of Their Own,1,Red,No Attempt,0,No Attempt,0,No Attempt,2,2,1,0,1,1,so-so,good,medium,yes,yes,
10107,A League Of Their Own,1,Red,Attempted,0,Attempted,0,Parked,3,3,1,3,1,1,good,good,medium,,,
10107,A League Of Their Own,4,Red,No Attempt,0,Achieved,0,Parked,2,2,1,3,1,1,so-so,good,medium,,,
10107,A League Of Their Own,5,Red,No Attempt,0,No Attempt,0,Parked,3,3,1,1,1,1,so-so,so-so,fast,,,
10107,A League Of Their Own,7,Red,No Attempt,0,No Attempt,0,No Attempt,2,2,1,4,0,0,good,good,fast,,,4 stones pls capstone


10107,A League Of Their Own,9,Red,No Attempt,0,Achieved,0,Attempted,3,3,0,0,1,1,so-so,so-so,slow,,,
10107,A League Of Their Own,14,Blue,1,0,No Attempt,0,Parked,1,2,0,0,0,0,so-so,so-so,medium,,,
10107,A League Of Their Own,18,Red,Attempted,0,Attempted,0,No Attempt,1,1,1,4,1,0,good,good,medium,,,
10107,A League Of Their Own,23,Blue,No Attempt,0,Achieved,0,Parked,1,1,1,3,1,1,so-so,good,medium,,,
10110,Pixel Knights,3,Blue,No Attempt,0,Attempted,0,Parked,1,2,0,0,1,0,bad,bad,fast,,yes,
10110,Pixel Knights,5,Red,No Attempt,0,No Attempt,0,Parked,1,2,0,0,1,1,so-so,so-so,medium,,,
10110,Pixel Knights,11,Red,No Attempt,0,No Attempt,0,Parked,0,1,0,0,0,0,did not attempt,did not attempt,did not move,,,
10110,Pixel Knights,18,Blue,No Attempt,0,No Attempt,0,No Attempt,3,3,0,0,0,1,did not attempt,did not attempt,did not move,,,
11418,CCA Middle,3,Red,No Attempt,0,No Attempt,0,Attempted,0,5,0,0,0,0,good,did not attempt,fast,yes,,everyone disconnected at the end

11418,CCA Middle,4,Red,No Attempt,0,No Attempt,0,Parked,0,3,0,0,0,0,good,did not attempt,fast,,,
11418,CCA Middle,11,Red,No Attempt,0,Achieved,0,Parked,0,1,0,0,1,0,bad,bad,slow,,,
11418,CCA Middle,16,Red,No Attempt,0,No Attempt,0,Parked,0,0,0,0,0,1,bad,bad,medium,yes,,
11418,CCA Middle,28,Red,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,yes,,
11418,CCA Middle,32,Red,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,,,
13352,Rosie's Riveters ,4,Blue,No Attempt,0,Achieved,0,Parked,0,0,0,0,0,0,bad,did not attempt,medium,,,
13352,Rosie's Riveters ,15,Blue,No Attempt,0,No Attempt,0,No Attempt,3,2,1,0,0,1,good,good,fast,,,
13415,Electric Storm,1,Red,No Attempt,0,Achieved,0,Attempted,0,2,0,0,0,1,so-so,did not attempt,medium,,,
13415,Electric Storm,4,Blue,Attempted,0,Attempted,0,Attempted,0,1,0,0,0,1,bad,did not attempt,medium,,yes,
13415,Electric Storm,6,Blue,No Attempt,0,No Attempt,0,No Attempt,0,0,0,0,0,0,did not attempt,did not attempt,did not move,yes,,
13415,Electric Storm,24,Red,No Attempt,0,Achieved,0,Parked,3,0,0,0,0,0,good,so-so,medium,,,
16156,(16156),17,Red,No Attempt,0,No Attempt,0,No Attempt,0,4,0,0,0,1,did not attempt,did not attempt,did not move,,,
16156,(16156),25,Blue,No Attempt,0,Achieved,0,Parked,1,1,0,0,0,1,so-so,so-so,slow,,,
16156,(16156),28,Red,No Attempt,0,Achieved,0,Parked,1,3,0,0,0,1,so-so,so-so,medium,,,
