Division,Number,Nickname,Full Name,Rookie Year,Website,Location
FTC,1,Team Unlimited,PTC &amp; FTC1 Team Unlimited 4-H Club,2007,http://www.ftc0001.org/,Sharon&comma; MA 02067 USA
FTC,7,TechBrick FTC 7,TechBrick Robotics,2007,http://www.techbrick.com,Aberdeen Proving Ground&comma; MD 21005 USA
FTC,18,Techno Chix,Girl Scouts Heart of the Hudson,2007,www.thetechnoteams.com,Pleasantville&comma; NY 10570 USA
FTC,22,100 Scholars,100 Black Men of Atlanta/Georgia Power/Johnson Research and Development/NCR/Lockheed Martin &amp; 100 Black Men of Atlanta&comma; Inc.,2007,,Atlanta&comma; GA 30303 USA
FTC,25,Rock N' Roll Robots,Girl Scouts of Greater Los Angeles &amp; Girl Scouts of Greater Los Angeles,2007,www.rocknrollrobots25.com,Pasadena&comma; CA 91006 USA
FTC,28,PolyGnomes,Green Meadow Waldorf School,2007,,Spring Valley&comma; NY 10977 USA
FTC,33,Enigma,Gar-Field High &amp; Gar-Field High,2007,,Woodbridge&comma; VA 22192 USA
FTC,36,Wyverns,Kingswood-Oxford School,2007,,West Hartford&comma; CT 06119 USA
FTC,40,HAX Robotics,the Loomis Chaffee School,2007,,Windsor&comma; CT 06095 USA
FTC,54,Gr3y Matt3r,Heritage Christian School,2007,www.heritagerobotics.org,Bozeman&comma; MT 59718 USA
FTC,61,OZONE,Oxford Area Hs,2007,OxfordRobotics.org,Oxford&comma; PA 19363 USA
FTC,71,Teton Gravity Robotics,Journeys School of Teton Science Schools,2007,,Jackson&comma; WY 83001 USA
FTC,92,Junior Bomb Squad,Science and Technology Group/Baxter Healthcare Corporation &amp; Mountain Home Jr. High School,2007,juniorbombsquad.org,Mountain Home&comma; AR 72653 USA
FTC,110,MFS Foxes,Moorestown Friends School,2007,,Moorestown&comma; NJ 08057 USA
FTC,112,RoboKnights of the Round Table,Pace Academy,2007,mm.paceacademy.org/robotics,Atlanta&comma; GA 30327 USA
FTC,116,Crazy Eights,Octagon Robotics/Fiber Tech &amp; 4-H Youth Development Organization,2007,octagonrobotics.weebly.com,Chicago&comma; IL 60609 USA
FTC,118,Steel Hornets,Emmaus Hs,2007,http://steelhornetsrobotics.com,Emmaus&comma; PA 18049 USA
